"","Turn","Speaker","Utterance","TurnSeq","IUSeq"
"498",262,"M:"," (.) 你 跟 他 講",262,498
"499",263,"F:"," (.) um",263,499
"500",264,"M:"," (...) 我 就 跟 他 講",264,500
"501",265,"F:"," (...) um",265,501
"502",266,"M:"," (...) 然後 講 完 之後",266,502
"503",266,"M:"," (...) 然後 下午 <L3 meeting L3>",266,503
"504",267,"F:"," (...) um",267,504
"505",268,"M:"," (...) 下午 <L3 meeting L3> 的 時候",268,505
"506",268,"M:"," (...) 他 用 [中文 自我 介紹]",268,506
"507",269,"F:"," [中文 <L3 present L3>]",269,507
"508",269,"F:"," (.) @@@=",269,508
"509",270,"M:"," (.) @@[2@2]",270,509
"510",271,"F:"," [2@2]@@ 是 你們 自己 不 跟 人家 講 中文 的 啊",271,510
"511",272,"M:"," (.) 然後 就",272,511
"512",273,"F:"," (...) 說不定 他 是 泰",273,512
"513",273,"F:"," (...) 泰台 [混血] 啊",273,513
"514",274,"M:"," [@@]",274,514
"515",275,"M:"," (.) TSK",275,515
"516",275,"M:"," (.) 不",275,516
"517",275,"M:"," (.) 不 是 啊",275,517
"518",275,"M:"," (...) 就",275,518
"519",275,"M:"," (...) 嘖",275,519
"520",275,"M:"," (.) 看 我",275,520
"521",275,"M:"," (.) 講 得 那 個 樣子",275,521
"522",275,"M:"," (.) 他 不 能 就是 說",275,522
"523",275,"M:"," (...) 其實 我 聽 得 懂 中文",275,523
"524",275,"M:"," (...) TSK",275,524
"525",275,"M:"," (...) [2這樣",275,525
"526",275,"M:"," (.) 這樣 很 貼心 嘛2]",275,526
"527",276,"F:"," [2ei",276,527
"528",276,"F:"," (.) 他 怕 就是",276,528
"529",276,"F:"," (.) 他 怕 你",276,529
"530",276,"F:"," (.) 就是",276,530
"531",276,"F:"," (...) 精心 準備 了 這 一 套",276,531
"532",276,"F:"," (.) 就是 要 <L3 introduce L3> 你 的 實驗室 的",276,532
"533",276,"F:"," (...) 然後 怕 打斷 你 會 不好[意思]",276,533
"534",277,"M:"," [我 <# 那天 #> ]",277,534
"535",277,"M:"," (.) 我 <# 真的 #> 想 把 他 殺掉",277,535
"536",278,"F:"," (...) 他 可能 就是",278,536
"537",278,"F:"," (...) 不 了解 台灣 的 文化 啊",278,537
"538",278,"F:"," (...) 所以 就 不好意思 打斷 你",278,538
"539",279,"M:"," (...) TSK",279,539
"540",279,"M:"," (.) 真 不 知道 說 什麼",279,540
"541",279,"M:"," (.) @@",279,541
"542",279,"M:"," (.) @@",279,542
"543",279,"M:"," (...). 而且 我 到 現在 還 是 不 會 唸 他 的 [2名字2]",279,543
"544",280,"F:"," [2@@=2]",280,544
"545",281,"M:"," (.) 因為 他 寫",281,545
"546",281,"M:"," (.) 就 他 xi- 他 寫 那 個 名字",281,546
"547",281,"M:"," (.) 喔",281,547
"548",281,"M:"," (.) 不 會 唸",281,548
"549",282,"F:"," (.) 喔",282,549
"550",283,"M:"," (.) 超 奇怪 的",283,550
"551",284,"F:"," (.) 喔",284,551
"552",285,"M:"," (.) 嗯",285,552
"553",285,"M:"," (.) 什麼 <L2 a L2> 什麼 的",285,553
"554",285,"M:"," (.) 我 不 知道 怎麼 唸",285,554
"555",285,"M:"," (.) ##",285,555
"556",286,"F:"," (...) 哦",286,556
"557",286,"F:"," (...) 泰國人",286,557
"558",287,"M:"," (.) 對 啊",287,558
"559",288,"F:"," (...) TSK",288,559
"560",288,"F:"," (...) 不 錯 耶",288,560
"561",288,"F:"," (...) 很 有 潛力",288,561
"562",289,"M:"," (...) 不 知道 耶",289,562
"563",290,"F:"," (...) 明天 我 還 要 去 新竹 什麼 綠世界",290,563
"564",290,"F:"," (.) 到底 要 走 多久",290,564
"565",290,"F:"," (.) 先 看 一下",290,565
"566",291,"M:"," (...) @= 好好 一 個 週末",291,566
"567",292,"F:"," (...) 阿 綠世界",292,567
"568",292,"F:"," (...) 九點 半",292,568
"569",292,"F:"," (...) 到",292,569
"570",292,"F:"," (.) 十二點 半",292,570
"571",292,"F:"," (...) 怎麼 那麼 久 喔",292,571
"572",293,"M:"," (.) 聽起來 好像 很 棒 耶[@@@]",293,572
"573",294,"F:"," [還 有 動物 劇場] eh",294,573
"574",294,"F:"," (...) @@",294,574
"575",294,"F:"," (.) 想想 看 裡面 會 有 什麼 動物 呢",294,575
"576",294,"F:"," (...) 他 會不會 就是 把 電燈 關掉",294,576
"577",294,"F:"," (.) 然後 一下 這裡 亮",294,577
"578",294,"F:"," (.) 一下 那裡 亮",294,578
"579",294,"F:"," (.) 然後 之後 叫 大家 猜 說 是 什麼 動物 [2之類 的2]",294,579
"580",295,"M:"," [2免錢 我2] 也 不 去",295,580
"581",295,"M:"," (.) 我 寧願 在家 睡覺",295,581
"582",295,"M:"," (.) @@",295,582
"583",296,"F:"," (.) ho",296,583
"584",296,"F:"," (.) 我 也 想 啊",296,584
"585",297,"M:"," (...) 不 去 會 怎樣 嗎",297,585
"586",298,"F:"," (...) 不 行",298,586
"587",298,"F:"," (.) 一定 要 去",298,587
"588",299,"M:"," (...) 是 喔",299,588
"589",300,"F:"," (.) 對 啊",300,589
"590",300,"F:"," (.) 這 是 規定",300,590
"591",301,"M:"," (...) @= 真 不 知道 怎麼 同情 妳 @@",301,591
"592",302,"F:"," (.) 對 啊",302,592
"593",302,"F:"," (.) 好 好 一 個 週末",302,593
"594",303,"M:"," (.) 還有 活動 準備 時段",303,594
"595",304,"F:"," (...) [對 啊]",304,595
"596",305,"M:"," [####]",305,596
"597",305,"M:"," (...) 活動",305,597
"598",306,"F:"," (.) 因為 我 同",306,598
"599",306,"F:"," (.) 就是 我們 有 同事 要",306,599
"600",306,"F:"," (...) 就是 要",306,600
"601",306,"F:"," (...) 男 扮 女 裝",306,601
"602",306,"F:"," (.) 慧 跟 華",306,602
"603",307,"M:"," (...) 真的 喔",307,603
"604",308,"F:"," (...) 對",308,604
"605",308,"F:"," (.) 然後 還 有 男生",308,605
"606",308,"F:"," (.) 超 大 一 隻 的",308,606
"607",308,"F:"," (...) 很 黑",308,607
"608",308,"F:"," (...) 長 得 很 像 台灣 黑熊",308,608
"609",308,"F:"," (.) 然後 他 要 表演 什麼 你 知道 嗎",308,609
"610",308,"F:"," (...) 瑪麗蓮 夢露",308,610
"611",308,"F:"," (...) 超 噁心 的",308,611
"612",308,"F:"," (...) 他 那天 帶 假髮",308,612
"613",308,"F:"," (.) 還 有 穿 那 個 裙子",308,613
"614",308,"F:"," (...) 然後 跳舞 跳 到 一半",308,614
"615",308,"F:"," (.) 那 個 衛生紙 會跑 出來 @@@",308,615
"616",309,"M:"," (.) @@ <# 一定 #> 要 那麼 難 賺 就 對 了 [2@@=2]",309,616
"617",310,"F:"," [2@@@2]",310,617
"618",310,"F:"," (.) @@= 然後 還 有 另外 一 個 同事",310,618
"619",311,"M:"," (.) @@",311,619
"620",312,"F:"," (.) 就是",312,620
"621",312,"F:"," (.) 他們 那 一 組 要 表演 舞孃",312,621
"622",312,"F:"," (.) 然後 他 要 男 扮",312,622
"623",312,"F:"," (.) 男 扮 女 裝",312,623
"624",312,"F:"," (.) 然後 表演 舞孃",312,624
"625",312,"F:"," (.) 然後 還 要 穿 那 個",312,625
"626",312,"F:"," (...) 就是 內搭褲",312,626
"627",313,"M:"," (.) 國中 還 不 就是",313,627
"628",314,"F:"," (...) @",314,628
"629",314,"F:"," (.) 要 穿 內搭褲",314,629
"630",314,"F:"," (.) 一 個 好 好 的 [男生]",314,630
"631",315,"M:"," [高中] 還 是 不 被 我們 班 害",315,631
"632",316,"F:"," (.) 還 要 穿 內搭褲 耶",316,632
"633",316,"F:"," (.) 你 不 覺得 很 噁心 嗎",316,633
"634",316,"F:"," (...) 下面 還 有 蕾絲",316,634
"635",316,"F:"," (.) @",316,635
"636",316,"F:"," (.) 然後 上面 要 上空",316,636
"637",316,"F:"," (.) 然後 跳 舞孃 耶",316,637
"638",316,"F:"," (...) 舞孃 耶",316,638
"639",317,"M:"," (...) 他 會不會 明天 就 離職 了",317,639
"640",318,"F:"," (...) @@",318,640
"641",318,"F:"," (...) 一 整 個 就",318,641
"642",318,"F:"," (.) 哇",318,642
"643",318,"F:"," (.) 好 可憐 喔",318,643
"644",319,"M:"," (...) 大概 讀 物治 的 都 是 gay 吧",319,644
"645",319,"M:"," (.) 應該 可以 接受",319,645
"646",320,"F:"," (...) 不是",320,646
"647",321,"M:"," (...) <# 我 不 知道 我 約 #> 上次 你 來 的 那",321,647
"648",321,"M:"," (.) 那 三 個",321,648
"649",322,"F:"," (.) eh",322,649
"650",322,"F:"," (.) 就是",322,650
"651",322,"F:"," (...) 那 一 個",322,651
"652",322,"F:"," (.) 比較 矮 的 那 個",322,652
"653",322,"F:"," (.) 他 要",322,653
"654",322,"F:"," (.) 就是",322,654
"655",322,"F:"," (.) 跳 舞孃",322,655
"656",323,"M:"," (.) 他 不 是 gay 啊",323,656
"657",324,"F:"," (.) 他 不 是 啦",324,657
"658",325,"M:"," (.) 喔",325,658
"659",325,"M:"," (.) 可是 他 超 像 gay 的",325,659
"660",325,"M:"," (...) 看 那 死 gay 砲",325,660
"661",326,"F:"," (...) 他 又 沒有 很 帥",326,661
"662",327,"M:"," (...) 嗯",327,662
"663",328,"F:"," (.) 我 說 他 長 得 又 不 帥",328,663
"664",329,"M:"," (...) TSK",329,664
"665",329,"M:"," (.) 他 就是 那種",329,665
"666",329,"M:"," (.) TSK",329,666
"667",329,"M:"," (.) [2不帥 的 那種 gay 啊2]",329,667
"668",330,"F:"," [2他 只是 婆婆媽媽2] 而已 啊",330,668
"669",331,"M:"," (...) 而且 他 zhi -",331,669
"670",331,"M:"," (.) 我 覺得 他 很 煩",331,670
"671",332,"F:"," (.) 他 真的 很 煩 啊",332,671
"672",332,"F:"," (.) 他 現在 每天 在",332,672
"673",332,"F:"," (.) 就是",332,673
"674",332,"F:"," (.) 辦公室 都 會 被 所有 的 人 嗆",332,674
"675",332,"F:"," (...) 他 只要 講 一 句 話",332,675
"676",332,"F:"," (.) 然後 就 有 兩 三 個 人 回嗆 他",332,676
"677",332,"F:"," (...) 你 就 知道 他 的 那 一 個",332,677
"678",332,"F:"," (...) 人緣 就是",332,678
"679",333,"M:"," (.) 是 是",333,679
"680",334,"F:"," (...) 對",334,680
"681",334,"F:"," (.) 然後 他 也 是",334,681
"682",334,"F:"," (.) 就是 那 個",334,682
"683",334,"F:"," (.) 就是",334,683
"684",334,"F:"," (.) 莫名其妙 被 阿姨 討厭 的",334,684
"685",334,"F:"," (...) 治療師 [@@@]",334,685
"686",335,"M:"," [@=]",335,686
"687",336,"F:"," (.) 然後 我們 今天 就 說",336,687
"688",336,"F:"," (...) 就是 今天 那 個 阿姨 ###",336,688
"689",336,"F:"," (.) 然後 我們 所有 人 都 讓開",336,689
"690",336,"F:"," (.) 然後 讓 他 去 <# 拆 #> [2@@=2]",336,690
"691",337,"M:"," [2@@@2]",337,691
"692",337,"M:"," (.) 你們 超 壞 耶",337,692
"693",338,"F:"," (.) 沒有",338,693
"694",338,"F:"," (.) 可是 重點 是 呢",338,694
"695",338,"F:"," (.) 他 後來 就 跟 阿姨",338,695
"696",338,"F:"," (.) 就是",338,696
"697",338,"F:"," (...) 和好 了",338,697
"698",338,"F:"," (...) 馬上 跟 阿姨 推 自費",338,698
"699",338,"F:"," (.) 然後 阿姨 馬上 就 答應",338,699
"700",338,"F:"," (.) 然後 我們 就 說 其實 是 阿姨 喜歡 他",338,700
"701",339,"M:"," (.) [對 啊]",339,701
"702",340,"F:"," [然 後] 故意 說 他 很 壞",340,702
"703",340,"F:"," (.) 然後 讓 我們 就是",340,703
"704",340,"F:"," (.) 想 要 想 辦法 讓",340,704
"705",340,"F:"," (.) 就是",340,705
"706",340,"F:"," (.) 他 跟 阿姨 和好 這樣",340,706
"707",341,"M:"," (...) 你們 中 了 阿姨 的 計",341,707
"708",342,"F:"," (.) 對 啊",342,708
"709",342,"F:"," (...) 害 我們 就是",342,709
"710",342,"F:"," (.) 這麼 擔心",342,710
"711",343,"M:"," (...) 搞 不",343,711
"712",343,"M:"," (.) 搞 不 好 哪天 他 就 跟 阿姨 在 一起 了",343,712
"713",343,"M:"," (...) 在 一起 囉",343,713
"714",344,"F:"," (...) 怎麼 可能 呢",344,714
"715",344,"F:"," (.) 阿姨 已經 六十 了 [2@@=2]",344,715
"716",345,"M:"," [2@@=2]",345,716
"717",345,"M:"," (.) TSK",345,717
"718",345,"M:"," (.) 是 真愛 啊",345,718
"719",346,"F:"," (.) 對 啊",346,719
"720",346,"F:"," (.) 我 知道 啦",346,720
"721",346,"F:"," (...) 沒有 啦",346,721
"722",346,"F:"," (.) 我 那 個 同事 每次 都 說",346,722
"723",346,"F:"," (.) 就是",346,723
"724",346,"F:"," (...) 他 要 去 找 越南 新娘",346,724
"725",347,"M:"," (...) 他 真的 很 奇怪",347,725
"726",347,"M:"," (.) 他 <# 上次 #>",347,726
"727",347,"M:"," (.) TSK",347,727
"728",347,"M:"," (.) [不 知道",347,728
"729",347,"M:"," (.) 上次]",347,729
"730",348,"F:"," [他 是 ##]",348,730
"731",363,"F:"," (...) 綠[世界]",363,731
"732",347,"M:"," (.) 他 上次 <# 講 完 #>",347,732
"733",349,"M:"," (.) 就 超 奇怪 的",349,733
"734",350,"F:"," (...) 他 只是",350,734
"735",350,"F:"," (.) 雞婆 了 點 而已 啊",350,735
"736",350,"F:"," (...) 嗯",350,736
"737",350,"F:"," (.) 可是 他 人 其實 還 不 錯 啦",350,737
"738",351,"M:"," (...) 是 是 [2是2]",351,738
"739",352,"F:"," [2只是2]",352,739
"740",352,"F:"," (...) 就是",352,740
"741",352,"F:"," (...) 太 多 話 了",352,741
"742",352,"F:"," (...) 有點 吵",352,742
"743",353,"M:"," (...) 只有",353,743
"744",353,"M:"," (...) 一點點 太 多 話 @@=",353,744
"745",354,"F:"," (.) 就是",354,745
"746",354,"F:"," (.) TSK",354,746
"747",354,"F:"," (.) 你 知道 就 好 了",354,747
"748",354,"F:"," (...) 甯 你 ## 明天 要 幹嘛",354,748
"749",355,"F:"," (.) 明天 要 幹嘛",355,749
"750",356,"M:"," (...) 家教 啊",356,750
"751",357,"F:"," (...) 喔",357,751
"752",358,"M:"," (...) 家教",358,752
"753",358,"M:"," (.) 實驗室",358,753
"754",358,"M:"," (.) 家教",358,754
"755",359,"F:"," (...) 喔",359,755
"756",360,"M:"," (...) 然後 回家 睡覺",360,756
"757",361,"F:"," (.) 喔",361,757
"758",361,"F:"," (...) 至少 你 可以 回家 睡覺",361,758
"759",362,"M:"," (...) eh 你 去",362,759
"760",364,"M:"," [看 一下 看 一下]",364,760
"761",374,"M:"," (.) [那 就]",374,761
"762",365,"F:"," (.) 動物 劇場",365,762
"763",365,"F:"," (...) 北埔 老街",365,763
"764",365,"F:"," (.) 晚上 還 要 跳舞",365,764
"765",366,"M:"," (.) 度假 飯店 耶",366,765
"766",366,"M:"," (...) 聽 起來 就 很 高級",366,766
"767",367,"F:"," (.) 但 你 覺得 大家 會 喝 到 幾點",367,767
"768",367,"F:"," (...) 到底 能 睡 幾 個 鐘頭 呢 你 看 看",367,768
"769",368,"M:"," (.) 喝 了 你 又 不 會 起來",368,769
"770",368,"M:"," (.) 你 就 可以 一 覺 睡 到 十 點 啊",368,770
"771",368,"M:"," (.) 退房",368,771
"772",368,"M:"," (...) 你 可以 一 覺 睡 到 十 點 退房",368,772
"773",368,"M:"," (...) 多 好",368,773
"774",369,"F:"," (.) 不 可能",369,774
"775",370,"M:"," (...) 啊 他 不 是 不 會 灌 女生 酒",370,775
"776",371,"F:"," (...) 很 難說 啊",371,776
"777",371,"F:"," (...) 只是 平常 常常 不 會 灌 女生 酒",371,777
"778",371,"F:"," (...) TSK",371,778
"779",371,"F:"," (.) 這種 場合 感覺 會 被",371,779
"780",371,"F:"," (.) 一定 會 被 灌",371,780
"781",372,"M:"," (.) <# 你們 這邊 是 #>",372,781
"782",373,"F:"," 不過 還好 就是",373,782
"783",373,"F:"," (.) 這種 是 喝 紅酒",373,783
"784",374,"M:"," (...) 喔",374,784
"785",375,"F:"," [熱炒] 是 [2啤酒2]",375,785
"786",376,"M:"," [2被 灌2] 就 沒有 差 了 吧",376,786
"787",392,"M:"," (.) [每 個 人 都 差不多]",392,787
"788",377,"F:"," (...) 對 啊",377,788
"789",378,"M:"," (...) 紅酒 是 能 灌 多少",378,789
"790",379,"F:"," (...) 我 也 不 知道 耶",379,790
"791",380,"M:"," (...) 紅酒 喝 兩 罐 都",380,791
"792",380,"M:"," (...) 那 個 醫生 怎麼 那麼 無聊 啊",380,792
"793",381,"F:"," (...) 不 知道 耶",381,793
"794",381,"F:"," (...) TSK",381,794
"795",382,"M:"," (...) @=",382,795
"796",382,"M:"," (...) 唉",382,796
"797",382,"M:"," (...) 我 也 好 幾天 沒 睡覺 了",382,797
"798",383,"F:"," (...) 你 喔",383,798
"799",384,"M:"," (.) 對 啊",384,799
"800",385,"F:"," (...) 你 在 幹嘛 啊",385,800
"801",386,"M:"," (...) 昨天 跟 前天 都 在 忙 事情",386,801
"802",386,"M:"," (.) 都 在 忙",386,802
"803",386,"M:"," (.) 跑 程式 啊 什麼 的",386,803
"804",387,"F:"," (...) 你 真的 是",387,804
"805",387,"F:"," (.) 怪咖 耶",387,805
"806",388,"M:"," (...) 就",388,806
"807",388,"M:"," (.) 就 沒 時間 睡覺 咩",388,807
"808",389,"F:"," (...) 那 用",389,808
"809",389,"F:"," (.) 跑 程式 的 時候 不會 有",389,809
"810",389,"F:"," (.) 就是",389,810
"811",389,"F:"," (...) 空檔",389,811
"812",389,"F:"," (.) 可以",389,812
"813",389,"F:"," (.) 就是",389,813
"814",389,"F:"," (.) 休息 一下 嗎",389,814
"815",390,"M:"," (.) 就要",390,815
"816",390,"M:"," (.) 唸",390,816
"817",390,"M:"," (.) 唸 書 啊",390,817
"818",391,"F:"," (.) 唸 書",391,818
"819",391,"F:"," (...) 媽 啊",391,819
"820",392,"M:"," (...) 差 不多 啦",392,820
"821",393,"F:"," [### 你 真的]",393,821
"822",406,"F:"," (.) [@=]",406,822
"823",394,"M:"," (...) 每 個 人 都 差 不多",394,823
"824",394,"M:"," (...) 唸 博",394,824
"825",394,"M:"," (.) 唸 碩班 都 差 不多 啊",394,825
"826",395,"F:"," (...) 真的 喔",395,826
"827",396,"M:"," (...) 對 啊",396,827
"828",396,"M:"," (...) 然後 我 現在 每天 都 在 跟 我們 班 同學 說",396,828
"829",396,"M:"," (.) 簽 下去 了",396,829
"830",396,"M:"," (...) [2因為 我們 老2]",396,830
"831",397,"F:"," [2簽 什麼2]",397,831
"832",396,"M:"," (.) 我們 老師 叫 他 念 博班",396,832
"833",398,"F:"," (...) 喔",398,833
"834",399,"M:"," (...) 然後",399,834
"835",399,"M:"," (.) 簽 下去 囉",399,835
"836",400,"F:"," (...) 喔",400,836
"837",401,"M:"," (.) 老闆 愛 將 @=",401,837
"838",402,"F:"," (.) 喔",402,838
"839",403,"M:"," (...) 我 本來 想",403,839
"840",403,"M:"," (.) ###",403,840
"841",403,"M:"," (.) 今天",403,841
"842",403,"M:"," (.) 今天",403,842
"843",403,"M:"," (.) 跟 他 談",403,843
"844",403,"M:"," (.) 嗯",403,844
"845",403,"M:"," (.) 新 的 <L3 project L3>",403,845
"846",404,"F:"," (...) 喔",404,846
"847",405,"M:"," (.) 他 說",405,847
"848",405,"M:"," (...) 我 覺得 你 應該 可以 做 得 到",405,848
"849",406,"F:"," (.) ##",406,849
"850",407,"M:"," [@=]",407,850
"851",408,"F:"," (.) [喔]",408,851
"852",407,"M:"," (.) 就是 叫 他 唸 博班 的 意[2思 @@@=2]",407,852
"853",408,"F:"," [2喔2]",408,853
"854",409,"M:"," [因為] 我們 老闆 現在 缺 <L3 post L3>",409,854
"855",423,"M:"," (.) 就是 [做 那 個]",423,855
"856",409,"M:"," (.) <L3 post doc L3>",409,856
"857",410,"F:"," (.) [2喔2]",410,857
"858",411,"M:"," [2啊2]",411,858
"859",411,"M:"," (.) 那 個",411,859
"860",411,"M:"," (.) 缺 的 那 個 人 唸 博班 了",411,860
"861",412,"F:"," (.) 就是 跟 我 同學 的 那 個 一樣 啊",412,861
"862",413,"M:"," (.) 對 啊",413,862
"863",413,"M:"," (.) 是 要 念 哪",413,863
"864",414,"F:"," (...) 所以 他 就 跟",414,864
"865",414,"F:"," (.) 我 同學 說",414,865
"866",414,"F:"," (.) 就是 那 個",414,866
"867",414,"F:"," (.) 直接 升 博班",414,867
"868",414,"F:"," (.) 四 年 完成",414,868
"869",415,"M:"," (.) ##",415,869
"870",416,"F:"," (.) 碩 博士",416,870
"871",416,"F:"," (.) 然後 我 同學 想 了 很 久",416,871
"872",416,"F:"," (.) 說 不行",416,872
"873",417,"M:"," (.) 給 我 錢 也 不要 唸",417,873
"874",418,"F:"," (...) 這樣 下去 就是",418,874
"875",418,"F:"," (.) 會 很 慘",418,875
"876",419,"M:"," (...) 物治 唸 博班 是 要 念 什麼",419,876
"877",420,"F:"," (...) 他 是 唸 輔具 研究所",420,877
"878",421,"M:"," (.) ha",421,878
"879",422,"F:"," (.) 他 是 唸 輔具 研究所",422,879
"880",424,"F:"," [還 有 OT]",424,880
"881",435,"M:"," (...) [喔]",435,881
"882",425,"M:"," (...) 做 那 個 喔",425,882
"883",426,"F:"," (.) 沒有 啊",426,883
"884",426,"F:"," (.) 當然 現在",426,884
"885",426,"F:"," (.) 現在 還有 誰 在 做 那 個 啊",426,885
"886",426,"F:"," (.) 當然 就是",426,886
"887",426,"F:"," (.) 電腦 情境 結合 啊",426,887
"888",427,"M:"," (...) 喔",427,888
"889",428,"F:"," (.) 對 啊",428,889
"890",429,"M:"," (...) 啊 那 個 讀 博班 幹嘛",429,890
"891",430,"F:"," (...)",430,891
"892",430,"F:"," (.) 其實 我 也 不 知道 耶",430,892
"893",430,"F:"," (.) 不過 那 個 同學 就是",430,893
"894",430,"F:"," (...) 他 就是",430,894
"895",430,"F:"," (.) 還",430,895
"896",430,"F:"," (.) 還會",430,896
"897",430,"F:"," (.) 就 還 蠻 會 自己 找 兼差 的",430,897
"898",430,"F:"," (...) 對 啊",430,898
"899",430,"F:"," (.) 你 看",430,899
"900",430,"F:"," (.) 一 個 研究生",430,900
"901",430,"F:"," (...) 然後 他 媽 又 沒有 給 他 錢",430,901
"902",430,"F:"," (.) 我 都 一直 以為 他 媽 有 給 他 錢",430,902
"903",430,"F:"," (...) 但 其實 都 沒有",430,903
"904",430,"F:"," (.) 但 他 可以",430,904
"905",430,"F:"," (...) 就是",430,905
"906",430,"F:"," (.) 三 天 吃 掉 七千 塊",430,906
"907",430,"F:"," (.) 就 他 都 會 去 找 一些 兼職 啊",430,907
"908",430,"F:"," (.) 可能 那種 高級 診所 啊",430,908
"909",430,"F:"," (.) 需要 作 什麼 輔具 啊",430,909
"910",430,"F:"," (...) 然後 就 按 件 計酬",430,910
"911",430,"F:"," (.) 一 個 可能 就 一 萬 塊 這樣",430,911
"912",431,"M:"," (.) 喔",431,912
"913",431,"M:"," (.) 那 個 不是 本來 就 滿 貴 的",431,913
"914",432,"F:"," (.) 對 啊",432,914
"915",432,"F:"," (...) 就 是",432,915
"916",432,"F:"," (.) 不 是",432,916
"917",432,"F:"," (.) 賣 給 病人 喔",432,917
"918",432,"F:"," (...) 就是 他 作 一 個",432,918
"919",432,"F:"," (.) 然後 那 個 診所 就 給 他 一 萬 塊",432,919
"920",433,"M:"," (...) 不 賣 給 病人 喔",433,920
"921",434,"F:"," (...) 沒有",434,921
"922",434,"F:"," (.) 是 診所 賣 給 病人",434,922
"923",436,"F:"," [診所 跟] 病人 交易",436,923
"924",444,"F:"," (...) 就是 一 個 很 長 很 長 的 那 [個]",444,924
"925",436,"F:"," (.) 只是",436,925
"926",436,"F:"," (.) 他 負責 去 做",436,926
"927",436,"F:"," (.) 這樣",436,927
"928",437,"M:"," (...) 那種 都 滿 貴 的 啊",437,928
"929",438,"F:"," (.) 嗯",438,929
"930",439,"M:"," (.) 同學 做 個 膝蓋 那 個 不是 就",439,930
"931",439,"M:"," (...) 兩 三 萬",439,931
"932",440,"F:"," (...) 我 不 知道",440,932
"933",441,"M:"," (.) 就 一個 膝蓋 的 那 個",441,933
"934",441,"M:"," (...) 裝 這裡 的",441,934
"935",441,"M:"," (...) 然後 那 個 shi -",441,935
"936",441,"M:"," (.) 什[2麼2]",441,936
"937",442,"F:"," [2喔2]",442,937
"938",443,"M:"," (.) 前 十字 韌帶 斷掉",443,938
"939",444,"F:"," (.) 就 骨",444,939
"940",444,"F:"," (.) 嗯",444,940
"941",445,"M:"," [對] 對 對 對 對",445,941
"942",455,"M:"," (...) 而且 [我們]",455,942
"943",445,"M:"," (...) 那種 就 兩 三 萬 吧",445,943
"944",446,"F:"," (.) 真的 喔",446,944
"945",447,"M:"," (.) 對 啊",447,945
"946",447,"M:"," (.) 而且",447,946
"947",447,"M:"," (.) 我們 班 有 一 個 人",447,947
"948",447,"M:"," (.) 斷掉 以後",447,948
"949",447,"M:"," (.) 他 就 買 一 個",447,949
"950",448,"F:"," (...) 嗯",448,950
"951",449,"M:"," (.) ## 他 好 了 結果 我們 班 另外 一 個 人 斷",449,951
"952",449,"M:"," (.) 他 就 把 他 送 他 [2@@@=2]",449,952
"953",450,"F:"," [2送 他 @@@=2]",450,953
"954",450,"F:"," (.) 哇 第二 個 人 就是",450,954
"955",450,"F:"," (.) 還 不 錯",450,955
"956",450,"F:"," (.) 可是 為什麼 會 斷掉",450,956
"957",451,"M:"," (...) 就 打 羽毛球 啊",451,957
"958",451,"M:"," (.) 而且 兩個 都 是 打 羽毛球",451,958
"959",452,"F:"," (.) 是 喔",452,959
"960",453,"M:"," (.) 對 啊",453,960
"961",453,"M:"," (...) 超",453,961
"962",453,"M:"," (.) 超 恐怖 的",453,962
"963",454,"F:"," (.) 喔",454,963
"964",456,"F:"," [哇塞]",456,964
"965",457,"M:"," (.) 看",457,965
"966",457,"M:"," (.) 大學 四 年",457,966
"967",457,"M:"," (...) 我們 班 就 兩 個",457,967
"968",458,"F:"," (...) 哇",458,968
"969",459,"M:"," (.) 還有 學長 一 個",459,969
"970",459,"M:"," (.) 學弟 一 個",459,970
"971",460,"F:"," (...) 哇",460,971
"972",461,"M:"," (...) 超 誇張 的",461,972
"973",462,"F:"," (...) 哇",462,973
"974",462,"F:"," (.) 真的 很 誇張",462,974
"975",463,"M:"," (...) 打 羽毛球 不 知道 在",463,975
"976",463,"M:"," (.) 在 打 什麼",463,976
"977",463,"M:"," (...) TSK",463,977
"978",463,"M:"," (...) 那 個",463,978
"979",463,"M:"," (.) ## 什麼 救球 這樣",463,979
"980",463,"M:"," (.) 救 下去",463,980
"981",464,"F:"," (.) 第二 個 比較 好 啊",464,981
"982",465,"M:"," (...) @@ 好 在 哪",465,982
"983",465,"M:"," (.) [2@2]",465,983
"984",466,"F:"," [2就2] 是",466,984
"985",466,"F:"," (...) 有",466,985
